studentId,name,department,address,phoneNumber
1,Emily Smith,Economics,"541 Oak St, Riverside, IL",276-879-4764
2,Chris Jones,Economics,"903 Maple St, Franklin, NY",741-111-7959
3,John Taylor,Civil Engineering,"603 Main St, Riverside, FL",147-143-8674
4,Alex Williams,Civil Engineering,"987 Walnut St, Springfield, IL",282-267-3722
5,Alex Miller,Computer Science,"157 Walnut St, Riverside, NY",324-387-1069
6,Michael Taylor,Chemical Engineering,"281 Main St, Greenville, FL",373-478-8258
7,John Taylor,Physics,"704 High St, Franklin, FL",525-408-1263
8,Katie Jones,Physics,"695 Birch St, Fairview, CA",193-428-5355
9,Sarah Miller,Physics,"887 Main St, Franklin, TX",292-453-6573
10,Chris Brown,Civil Engineering,"508 Walnut St, Riverside, TX",185-711-8107
11,Laura Smith,Chemistry,"333 Elm St, Fairview, TX",165-617-6131
12,John Johnson,Mathematics,"121 Main St, Riverside, FL",309-586-9795
13,Michael Taylor,Electrical Engineering,"637 Walnut St, Riverside, TX",235-836-9296
14,David Brown,Mechanical Engineering,"216 Pine St, Riverside, TX",209-455-6874
15,Michael Johnson,Mechanical Engineering,"167 Cedar St, Greenville, TX",828-211-4480
16,Jane Jones,Electrical Engineering,"774 Pine St, Franklin, TX",818-106-7386
17,John Davis,Computer Science,"49 Maple St, Greenville, TX",681-897-7333
18,Katie Smith,Physics,"949 Cedar St, Greenville, CA",886-213-2836
19,Sarah Miller,Mechanical Engineering,"597 Pine St, Riverside, IL",506-882-7634
20,Emily Taylor,Electrical Engineering,"698 Oak St, Franklin, FL",866-944-6316
21,Michael Brown,Biotechnology,"383 Birch St, Riverside, FL",934-470-1507
22,John Wilson,Chemistry,"689 Maple St, Springfield, NY",776-149-9125
23,Chris Williams,Mechanical Engineering,"785 Walnut St, Franklin, IL",221-162-2556
24,Chris Jones,Physics,"673 Elm St, Fairview, IL",522-189-7956
25,Sarah Jones,Economics,"905 High St, Riverside, IL",719-352-1769
26,John Williams,Biotechnology,"738 Elm St, Greenville, CA",491-558-6168
27,David Taylor,Biotechnology,"595 Park Ave, Fairview, IL",508-763-3936
28,Laura Johnson,Chemical Engineering,"176 Pine St, Greenville, FL",192-878-9116
29,John Smith,Civil Engineering,"97 Oak St, Franklin, CA",131-505-3486
30,Jane Davis,Mechanical Engineering,"22 Elm St, Riverside, FL",917-998-1851
31,Laura Miller,Physics,"109 High St, Riverside, FL",740-782-1161
32,David Williams,Mathematics,"471 Birch St, Greenville, IL",199-628-6877
